State_ab,City,Zip_Code,Lat,Lon,Mean,Median,Stdev,sum_w
FL,New Port Richey,34653,28.2276631,-82.6745711,62740,51202,43436,975.392275008087
FL,Wesley Chapel,33544,28.2245625,-82.3960258,78356,66436,48227,916.124676221945
FL,Fort Lauderdale,33304,26.1487307,-80.1251069,90551,71413,72246,657.132624352314
FL,Fort Lauderdale,33316,26.1070531,-80.1257198,72177,52255,65745,1154.71131863814
FL,Ft Lauderdale,33312,26.0986229,-80.1783391,73629,62399,59806,1002.66755749346
FL,Lake Wales,33859,27.8028653,-81.6057106,45047,33794,37425,671.979214434273
FL,Bowling Green,33834,27.6793689,-81.7712737,43710,37219,31310,670.748095281163
FL,Lauderdale Lakes,33319,26.1671006,-80.207239,41149,33803,29156,1037.34274754095
FL,Gainesville,32609,29.7905613,-82.2860259,49217,43804,33722,1097.28665997938
FL,Longwood,32750,28.6728411,-81.3436029,46040,34285,40079,530.076908562133
FL,Bushnell,33513,28.6670508,-82.2136322,48152,34346,44601,763.304840843317
FL,The Villages,32162,28.9403323,-82.0047573,63997,52600,44858,3435.60286268266
FL,Sunrise,33351,26.164545,-80.311695,90445,81821,62013,758.485322283631
FL,Pierson,32180,29.2362458,-81.3967883,58420,50038,42064,888.467739939688
FL,Plantation,33313,26.1412642,-80.2306721,40738,32122,33779,1215.79057202304
FL,Chipley,32428,30.787334,-85.5911197,46034,34284,40023,890.560080232341
FL,Gainesville,32641,29.6280683,-82.2957762,64930,35530,67364,254.257471274143
FL,Gainesville,32605,29.6760052,-82.3672989,76106,63281,61627,450.548872683855
FL,Gainesville,32607,29.6494075,-82.3932797,24249,20768,21850,264.582499444568
FL,High Springs,32643,29.7795968,-82.5827165,44916,34472,30253,436.75721797889
FL,Newberry,32669,29.6023486,-82.5289138,121808,111700,67390,382.73442426778
FL,Sunrise,33322,26.1424459,-80.2633541,51301,41974,41218,1615.67251407709
FL,Glen St Mary,32040,30.3515444,-82.3680283,45447,30395,35654,179.514405380721
FL,Youngstown,32466,30.3986805,-85.4589909,36839,31526,27844,692.669306339379
FL,Panama City,32404,30.1590423,-85.5804705,40465,33102,31036,379.455250924482
FL,Panama City,32405,30.2225165,-85.6125412,78161,71581,50603,685.756150077048
FL,Lynn Haven,32444,30.2523874,-85.6570481,35894,27531,35483,258.793829060813
FL,Panama City,32401,30.1449083,-85.6484407,82936,69516,61840,263.118359338974
FL,Plantation,33317,26.1145791,-80.2311409,107923,104978,53936,464.794102595936
FL,Panama City Beach,32408,30.1633541,-85.7617369,54855,47268,27693,189.793251704059
FL,Panama City Beach,32407,30.1805956,-85.8059897,49163,38191,35779,118.695826343325
FL,Starke,32091,29.9814253,-82.1954666,64434,46973,53664,275.192460828213
FL,Titusville,32780,28.5957528,-80.8360616,65883,53892,51507,550.614398020337
FL,Cocoa,32927,28.4149031,-80.7501254,76779,62599,56018,308.248678547475
FL,Davie,33328,26.079156,-80.2747834,116368,119717,63178,609.918888319108
FL,Rockledge,32955,28.2753422,-80.7117996,63868,43686,56118,1206.02958044075
FL,Weston,33332,26.04859,-80.4102923,116252,113537,66890,422.400930320943
FL,Palm Bay,32905,28.023195,-80.6335609,41232,33478,40246,597.546307891207
FL,Melbourne,32901,28.0573051,-80.6106396,26278,19213,19696,424.52255456618
FL,Merritt Island,32952,28.3923959,-80.6745174,89031,82263,57734,482.935628344498
FL,Cooper City,33330,26.0534317,-80.2883464,126804,119285,71321,338.104189503147
FL,Deerfield Beach,33442,26.3223877,-80.1441788,66283,58725,50260,505.167625432352
FL,Dania Beach,33004,26.0433113,-80.1328042,69836,64961,45676,339.345094615726
