,Name,Type,Address,Zip Code
13564,"(""RJ's Eatery"",)",pizza,1913EGrandAve,60046
13565,"('Taco Bell',)",mexican,2081EastGrandAvenue,60046
13566,"(""Richard's Chicken & Ribs"",)",bbq,900WRollinsRd,60073
13567,"('KFC',)",hotdogs,440WRollinsRd,60073
13568,"(""McDonald's"",)",hotdogs,1275NRt83,60030
13569,"(""Wendy's"",)",burgers,210ERollinsRd,60073
13570,"('Subway',)",sandwiches,928ERollinsRd,60073
13571,"('Halftime Bar & Grill',)",pizza,2405WJohnsburgRd,60051
13572,"(""Moretti's Ristorante & Pizzeria - Riverside"",)",tradamerican,801NRiverRd,60051
13573,"('Burger King',)",burgers,4417WElmSt,60050
13574,"('Bulldog Ale House',)",tradamerican,1501StateRte31,60050
13575,"('Dairy Queen',)",hotdogs,2640SchaidCt,60051
13576,"(""Chili's"",)",tex-mex,2409NRichmondRd,60050
13577,"(""McDonald's"",)",burgers,6309WDempsterSt,60053
13578,"('Burger King',)",hotdogs,7133WDempster,60714
13579,"(""Jimmy John's"",)",sandwiches,7954NWaukeganRd,60714
13580,"(""Papa Chris' Place"",)",hotdogs,6235WTouhyAve,60646
13581,"(""McDonald's"",)",burgers,530SWaukeganRd,60025
13582,"('Taco Burrito King',)",mexican,6701WTouhyAve,60714
13583,"('The Howard Street Inn',)",sportsbars,6700WHowardSt,60714
13584,"('The Port of Peri Peri',)",portuguese,4915OaktonSt,60077
13585,"('Taco Bell',)",hotdogs,7535NHarlemAve,60714
13586,"('Panda Express',)",chinese,5220WestDempster,60077
13587,"(""Wendy's"",)",hotdogs,8309GolfRd,60714
13588,"('Joe Donut',)",donuts,6969NMilwaukeeAve,60714
13589,"('More Than Pasta',)",pastashops,105SNorthwestHwy,60068
13590,"('Five Guys',)",burgers,3232LakeAve,60091
13591,"(""McAlister's Deli"",)",delis,9465NMilwaukeeAve,60714
13592,"('Adams Kabob',)",mediterranean,1410WaukeganRd,60025
13593,"(""Al's Beef"",)",sandwiches,5948WTouhyAve,60714
13594,"('Chipotle Mexican Grill',)",hotdogs,6861DempsterSt,60053
13595,"(""Irving's For Red Hot Lovers"",)",hotdogs,3207LakeAve,60091
13596,"(""McDonald's"",)",hotdogs,5360TouhyAve,60077
13597,"('Taco Bell',)",mexican,8840WaukeganRd,60053
13598,"('Halalbelly',)",burgers,6067DempsterSt,60053
13599,"('Panda Express',)",chinese,9347NMilwaukeeAve,60714
13600,"(""McDonald's"",)",hotdogs,8460DempsterAve,60714
13601,"('Potbelly Sandwich Shop',)",sandwiches,107SNorthwestHwy,60068
13602,"('Morrison Roadhouse',)",sportsbars,7355NHarlemAve,60714
13603,"(""Jersey Mike's Subs"",)",sandwiches,147SNorthwestHwy,60068
13604,"(""Nando's PERi-PERi"",)",southafrican,4999OldOrchardCtr,60077
13605,"('Blaze Pizza',)",salad,5712WTouhyAve,60714
13606,"('Boston Market',)",tradamerican,800DevonAve,60068
13607,"(""Jersey Mike's Subs"",)",hotdogs,5691WTouhyAve,60714
