"name","type","address","zip_code","state_ab","city","zip_code-2","lst","lon","mean","median","stdev","sum_w"
"La Santaneca De La Mission","mexican","2815 Mission St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Regent Thai Restaurant","thai","1700 Church St","94131","CA","San Francisco","94131","37.7450518","-122.4266975",109114,94516,81608,"146.684769"
"Dolores Park Cafe","breakfast_brunch","501 Dolores St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Jamba","juicebars","2014 Market St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Saffron 685","mediterranean","685 Townsend St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Don Ramon's Mexican Restaurant","mexican","225 11th St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Noah's NY Bagels","bagels","2300 16th St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"El Gallo Giro Taco Truck","foodtrucks","23rd St & Treat Ave","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Wise Sons Jewish Deli","delis","3150 24th St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Puerto Alegre","mexican","546 Valencia St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Taqueria La Cumbre","mexican","515 Valencia St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Sun Rise Restaurant","salad","3126 24th St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Regalito Rosticeria","mexican","3481 18th St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Cafe XO","coffee","1799 Church St","94131","CA","San Francisco","94131","37.7450518","-122.4266975",109114,94516,81608,"146.684769"
"Nopalito","mexican","306 Broderick St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"McDonald's","hotdogs","1100 Fillmore St","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Double Decker","burgers","465 Grove St","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Media Noche","cuban","3465 19th St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Pizza Zone N Grill","pizza","178 Valencia St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"That's It Market","beer_and_wine","2699 Mission St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Subway","sandwiches","750 Font Blvd","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Padrecito","mexican","901 Cole St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"DragonEats","vietnamese","520 Gough St","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Automat","bakeries","1801 McAllister St","94115","CA","San Francisco","94115","37.7879139","-122.4302666",133389,141923,75434,"208.4480145"
"Gracias Madre","mexican","2211 Mission St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Patxi's Pizza","pizza","822 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Gyro Xpress","mediterranean","499 Castro St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Papalote Mexican Grill","mexican","1777 Fulton St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"NOVY Restaurant","mediterranean","4000 24th St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Gialina Pizzeria","pizza","2842 Diamond St","94131","CA","San Francisco","94131","37.7450518","-122.4266975",109114,94516,81608,"146.684769"
"Carmelina's Taqueria","mexican","500 Parnassus Ave","94143",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Noah's NY Bagels","bagels","1521 Sloat Blvd","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Gyro King","greek","25 Grove St","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Big Mouth Burgers","burgers","3392 24th St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Sunrise Deli","delis","2115 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"KFC","hotdogs","2815 Geneva Ave","94014","CA","Daly City","94014","37.700941","-122.464979",88415,74953,62070,"14227.33025"
"VeganBurg","vegan","1466 Haight St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Que Huong Vietnamese Deli","vietnamese","2138 Irving St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Gumbo Social","soulfood","1994 37th Ave","94116","CA","San Francisco","94116","37.746019","-122.4804356",82738,60686,69109,"268.6871552"
"Bite Me Sandwiches","sandwiches","701 Cole St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"El Castillito","mexican","136 Church St","94114","CA","San Francisco","94114","37.7648873","-122.4394973",119299,300000,78740,"124.3604038"
"Venga Empanadas","empanadas","443 Valencia St","94103","CA","San Francisco","94103","37.7794424","-122.4107252",55829,17195,72540,"364.9354786"
"Hayes Pizza","pizza","2077 Hayes St","94117","CA","San Francisco","94117","37.7741958","-122.4477883",127804,300000,78645,"180.6221435"
"Park Gyros","greek","1201 9th Ave","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Chez Maman West","french","401 Gough St","94102","CA","San Francisco","94102","37.7870223","-122.412097",35063,21830,34530,"596.3552798"
"Alnico","asianfusion","1050 Valencia St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Great Steak","sandwiches","3251 20th Ave","94132","CA","San Francisco","94132","37.7133961","-122.4670977",84239,67378,65291,"426.5749319"
"Polly Ann Ice Cream","icecream","3138 Noriega St","94122","CA","San Francisco","94122","37.7569413","-122.4692285",111969,109102,73323,"224.0503254"
"Papalote Mexican Grill","mexican","3409 24th St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
"Kukje Market Restaurant","korean","2350 Junipero Serra Blvd","94015","CA","Colma","94015","37.7001141","-122.480253",80059,300000,66198,"211.5909522"
"Subway","sandwiches","500 Parnassus Ave","94143",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Taqueria Cancun","mexican","3211 Mission St","94110","CA","San Francisco","94110","37.7518211","-122.4184134",60022,38568,58147,"496.186648"
